"quant","dc_0","dc_0_pdf","ell_1e","ell_1e_pdf","ell_1as","ell_1as_pdf","omega_1e","omega_1e_pdf","omega_1as","omega_1as_pdf","omega_1bs","omega_1bs_pdf","phi_0","phi_0_pdf","tau_0","tau_0_pdf"
0.24,-0.178977419764443,1.24965844656503,11.6272117269628,0.149637744202162,107.777260677464,0.00597457430238424,0.280145174608682,15.373548705888,0.382450027400716,3.48594509749203,0.394170484482421,13.5308491481756,0.570755422728177,339.175199501295,0.297978420451151,74.7350522546451
0.25,-0.170628249338488,1.28095467873464,11.6934658478326,0.151825482417413,109.443857167886,0.00601276076015279,0.280787503684566,15.7139545792733,0.385294917098161,3.53557786665322,0.394900474375095,13.8273626287441,0.570784577073256,345.783097506997,0.298110466157318,76.5509933783442
0.26,-0.162817409133668,1.3081227945314,11.758809641841,0.153836008882027,111.100801103894,0.00604443397682237,0.281416359219766,16.0397085561203,0.388101695187104,3.58129399569153,0.395615309720483,14.1108687851478,0.570813195781861,351.999400412647,0.298239470835862,78.3020272268604
0.27,-0.155318927494436,1.33289562866241,11.8233416372835,0.155671811400045,112.749946732884,0.00606981356035727,0.282032841310647,16.3511151379048,0.390874348601635,3.62317031839638,0.396316235481094,14.3815776049512,0.570841328786023,357.825895794718,0.298365671994169,79.9889438087895
0.28,-0.147820445855203,1.35766846279342,11.8871519818184,0.157335399392307,114.393035775483,0.00608911387030159,0.282637950308963,16.6486176251214,0.393616556195403,3.66128819499103,0.397004392036937,14.6397793991808,0.570869022308961,363.263283724792,0.29848928849509,81.6128796661996
0.29,-0.140321964215971,1.38244129692443,11.9503250739405,0.15883044870864,116.031716177425,0.00610256904743247,0.283232578150209,16.9327006086223,0.396331718185359,3.69574181317606,0.397680790770626,14.8857882013495,0.570896318849629,368.313225645523,0.298610514000208,83.1751031594669
0.3,-0.132823482576739,1.40721413105544,12.012938474243,0.160161388443242,117.667542258283,0.00611042278976144,0.283817535318787,17.2039067817269,0.399022978662277,3.7266369846333,0.398346368993921,15.1199837569928,0.570923257544568,372.978207658407,0.298729526736228,84.6771900277351
0.31,-0.125720910324693,1.42769868271336,12.0750645618168,0.16133411350221,119.301983630387,0.00611298046956527,0.284393547370178,17.4627938362998,0.401693248912296,3.75411568023228,0.399001961087053,15.3427832789909,0.57094987497453,377.265201982254,0.298846486797853,86.1210820622383
0.32,-0.118772844998524,1.44650969652738,12.1367695715194,0.16235577621005,120.936404316236,0.00611064171029916,0.28496127494189,17.7098563392562,0.404345185853944,3.7783782092632,0.399648331636749,15.554642573304,0.570976204145818,381.189450961074,0.298961538926067,87.5092061405855
0.33,-0.111824779672355,1.4653207103414,12.1981149531097,0.16323298162811,122.572066130304,0.00610375453314359,0.28552131620991,17.9454990245992,0.406981214722021,3.79959786672716,0.400286174225727,15.7559524575695,0.571002275666838,384.76560548444,0.299074815463453,88.8437424766245
